,img_url,description
10,/us/en/images/products/anilinare-notepad-blue__0669829_PE716478_S4.JPG,A lot to remember? A note pad can be a big help. The pages have a light color tone to make it easier on your eyes.
11,/us/en/images/products/annanstans-cushion-cover-white__0651519_PE708849_S4.JPG,The hidden zipper makes the cover easy to remove.
12,/us/en/images/products/annanstans-cushion-cover-pink__0664812_PE712896_S4.JPG,The hidden zipper makes the cover easy to remove.
13,/us/en/images/products/annanstans-cushion-cover-green__0651526_PE708856_S4.JPG,The hidden zipper makes the cover easy to remove.
14,/us/en/images/products/annanstans-box-with-lid-red__0656085_PE709230_S4.JPG,"Suitable for storing small items like jewelry, scarves or other accessories."
15,/us/en/images/products/annanstans-bag-blue__0687917_PE722170_S4.JPG,Easy to keep clean as it can be washed in a machine. Easy to fold up and take with you. You can do something good for the environment by using this bag instead of disposable bags.
16,/us/en/images/products/annanstans-cushion-cover-blue__0651517_PE708847_S4.JPG,The hidden zipper makes the cover easy to remove.
17,/us/en/images/products/annanstans-scarf-white__0688856_PE722707_S4.JPG,
18,/us/en/images/products/annanstans-cushion-cover__0651528_PE708858_S4.JPG,The hidden zipper makes the cover easy to remove.
19,/us/en/images/products/annanstans-vase-green__0656090_PE709232_S4.JPG,Variations in the glaze give life and character to each vase.
20,/us/en/images/products/annanstans-caftan-blue__0711073_PE727925_S4.JPG,
21,/us/en/images/products/annanstans-cushion-cover-gray__0651531_PE708861_S4.JPG,The hidden zipper makes the cover easy to remove.
22,/us/en/images/products/annanstans-basket__0687919_PE722169_S4.JPG,"Despite its airy look, the basket is very sturdy since the banana fiber strips are soaked before they are woven around a mold, allowed to dry and then finally lacquered. Each basket is woven by hand and is therefore unique. Banana fibers have natural color variations which make every basket unique."
23,/us/en/images/products/annanstans-box-with-lid-gray__0656083_PE709228_S4.JPG,"Suitable for storing small items like jewelry, scarves or other accessories."
24,/us/en/images/products/annanstans-plate-black__0656094_PE709240_S4.JPG,Variations in the glaze give life and character to each plate.
25,/us/en/images/products/annanstans-cushion-cover-black__0651534_PE708864_S4.JPG,The hidden zipper makes the cover easy to remove.
26,/us/en/images/products/annanstans-cushion-cover-blue__0651538_PE708846_S4.JPG,The hidden zipper makes the cover easy to remove.
27,/us/en/images/products/annanstans-bowl-blue__0656097_PE709239_S4.JPG,Variations in the glaze give life and character to each bowl. Fill the bowl with decorations or use it alone as a beautiful object in its own right.
28,/us/en/images/products/annanstans-basket__0687920_PE722167_S4.JPG,"Despite its airy look, the basket is very sturdy since the banana fiber strips are soaked before they are woven around a mold, allowed to dry and then finally lacquered. Each basket is woven by hand and is therefore unique. Banana fibers have natural color variations which make every basket unique."
29,/us/en/images/products/annanstans-scarf-blue__0688857_PE722706_S4.JPG,
30,/us/en/images/products/anvandbar-hanging-plant-holder-beige__0410087_PE577939_S4.JPG,"Handmade by a skilled craftsperson. Keeping plants indoor gives better air quality at home, as plants add oxygen and moisture."
31,/us/en/images/products/anvandbar-table-white__0461802_PE607733_S4.JPG,"A slightly wider table with plenty of space for meals, homework, crafts, and other everyday activities. Table top made of bamboo, a strong and flexible material. The table storage box in the table top is ideal for cutlery and spices or pens and paper. When working at the table, you won’t need to feel disturbed by tangled cords from the computer or other equipment since you can lead the cords through the hole in the table storage box. If you want fresh vegetables and herbs close at hand during dinner, you can place VÄXER cultivation insert set in the table storage box."
32,/us/en/images/products/arkelstorp-console-table-black__0260736_PE404587_S4.JPG,"Solid wood is a durable natural material. Separate shelf for magazines, etc. helps you keep your things organized and the table top clear."
33,/us/en/images/products/arkelstorp-coffee-table-black__0260729_PE404586_S4.JPG,"Solid wood is a durable natural material. A coffee table with drop leaves is easy to make larger or smaller according to your different needs. Pullout stop ensures that the drawer cannot be pulled out too far accidently. Practical storage space underneath the table top. Separate shelf for magazines, etc. helps you keep your things organized and the table top clear."
34,/us/en/images/products/arkelstorp-desk-black__0735967_PE740301_S4.JPG,Solid wood is a durable natural material. Can be placed anywhere in the room because the back is finished. Drawer stops prevent the drawers from being pulled out too far.
35,/us/en/images/products/arkelstorp-sideboard-black__0625051_PE692077_S4.JPG,Solid wood is a durable natural material. Adjustable feet for stability on uneven floors.
36,/us/en/images/products/arv-piece-dinnerware-set-white__0186175_PE338224_S4.JPG,"Dinnerware that combines a simple, rustic design with a soft ruffled edge. It allows you to coordinate ARV with other porcelain to get different characters in your table settings."
37,/us/en/images/products/arv-brollop-cake-stand-with-lid__0713433_PE729526_S4.JPG,"The cake stand is a festive way to serve pastries, cheese or cakes."
38,/us/en/images/products/arv-bowl-green__0712898_PE729136_S4.JPG,"Dinnerware that combines a simple, rustic design with a soft ruffled edge. It allows you to coordinate ARV with other porcelain to get different characters in your table settings."
39,/us/en/images/products/arv-bowl-lilac__0528684_PE645920_S4.JPG,"Dinnerware that combines a simple, rustic design with a soft ruffled edge. It allows you to coordinate ARV with other porcelain to get different characters in your table settings."
40,/us/en/images/products/arv-plate-lilac__0528686_PE645922_S4.JPG,"Dinnerware that combines a simple, rustic design with a soft ruffled edge. It allows you to coordinate ARV with other porcelain to get different characters in your table settings."
41,/us/en/images/products/arv-side-plate-green__0615925_PE687511_S4.JPG,"Dinnerware that combines a simple, rustic design with a soft ruffled edge. It allows you to coordinate ARV with other porcelain to get different characters in your table settings."
42,/us/en/images/products/arv-side-plate-lilac__0528490_PE645817_S4.JPG,"Dinnerware that combines a simple, rustic design with a soft ruffled edge. It allows you to coordinate ARV with other porcelain to get different characters in your table settings."
43,/us/en/images/products/askholmen-chair-outdoor-brown__0728342_PE736203_S4.JPG,"Perfect for your balcony or other small spaces as the chair is easy to fold up. For added durability, and so you can enjoy the natural expression of the wood, the furniture has been pretreated with a layer of semitransparent wood stain."
44,/us/en/images/products/askholmen-table-outdoor-brown__0735743_PE740164_S4.JPG,"Perfect for your balcony or other small spaces as it can be folded up and put away. For added durability, and so you can enjoy the natural expression of the wood, the furniture has been pretreated with a layer of semitransparent wood stain."
45,/us/en/images/products/askholmen-wall-table-folding-chair-outdoor__0736653_PE740686_S4.JPG,"Takes little room to store as both the table and the chair fold flat. For added durability, and so you can enjoy the natural expression of the wood, the furniture has been pretreated with a layer of semitransparent wood stain."
46,/us/en/images/products/askholmen-wall-table-folding-chairs-outdoor__0736657_PE740690_S4.JPG,"Takes little room to store as both the table and the chair fold flat. For added durability, and so you can enjoy the natural expression of the wood, the furniture has been pretreated with a layer of semitransparent wood stain."
47,/us/en/images/products/askholmen-table-for-wall-outdoor-brown__0736627_PE740676_S4.JPG,"Space saving as the table can be folded down when not in use. For added durability, and so you can enjoy the natural expression of the wood, the furniture has been pretreated with a layer of semitransparent wood stain."
48,/us/en/images/products/askholmen-plant-stand-brown__0237654_PE376921_S4.JPG,"For added durability, and so you can enjoy the natural expression of the wood, the furniture has been pretreated with a layer of semitransparent wood stain."
49,/us/en/images/products/askholmen-trellis-brown__0638443_PE698948_S4.JPG,"The trellis makes it easy to decorate your walls with plants outdoors, and gives them the support they need to grow tall. You can mount the trellis vertically or horizontally and adjust it in height or width to perfectly suit your outdoor space. For added durability, and so you can enjoy the natural expression of the wood, the furniture has been pretreated with a layer of semitransparent wood stain."
50,/us/en/images/products/askholmen-flower-box-brown__0237649_PE376922_S4.JPG,"You can place the shelf at the bottom of the flower box or higher up, depending on how you want to display your plants. For added durability, and so you can enjoy the natural expression of the wood, the furniture has been pretreated with a layer of semitransparent wood stain."
51,/us/en/images/products/askholmen-table-chairs-outdoor-gray__0666962_PE713782_S4.JPG,"The cushion has a longer life because it can be turned over and used on both sides. Takes little room to store as both the table and the chair fold flat. For added durability, and so you can enjoy the natural expression of the wood, the furniture has been pretreated with a layer of semitransparent wood stain."
52,/us/en/images/products/askholmen-wall-table-folding-chair-outdoor-beige__0736646_PE740680_S4.JPG,"The cushion has a longer life because it can be turned over and used on both sides. Takes little room to store as both the table and the chair fold flat. For added durability, and so you can enjoy the natural expression of the wood, the furniture has been pretreated with a layer of semitransparent wood stain."
53,/us/en/images/products/askholmen-wall-table-folding-chairs-outdoor-gray__0736651_PE740684_S4.JPG,"The cushion has a longer life because it can be turned over and used on both sides. Takes little room to store as both the table and the chair fold flat. For added durability, and so you can enjoy the natural expression of the wood, the furniture has been pretreated with a layer of semitransparent wood stain."
54,/us/en/images/products/askvoll-bed-frame-white__0563129_PE663695_S4.JPG,26 layerglued slats adjust to your body weight and increase the suppleness of the mattress.
55,/us/en/images/products/askvoll-bed-frame-white__0563129_PE663695_S4.JPG,
56,/us/en/images/products/askvoll-bed-frame-white__0637517_PE698357_S4.JPG,"Adjustable bed sides allow you to use mattresses of different thicknesses. The low height makes this bed frame a good choice under windows or sloped ceilings. The design works well with many different styles, from modern to traditional. There’s plenty of space under the bed for storage boxes – great for stowing extra quilts and sheets. You can easily vacuum under the bed frame to keep the space clean and dustfree."
57,/us/en/images/products/askvoll-drawer-chest-white__0651100_PE706668_S4.JPG,Smooth running drawers with pullout stop.
58,/us/en/images/products/askvoll-drawer-chest-white__0651099_PE706667_S4.JPG,Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. Smooth running drawers with pullout stop.
59,/us/en/images/products/askvoll-drawer-chest-white__0285559_PE422523_S4.JPG,Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. This high chest gives you plenty of storage without taking up too much room. Smooth running drawers with pullout stop.
60,/us/en/images/products/askvoll-bed-frame-white__0563129_PE663695_S4.JPG,26 layerglued slats adjust to your body weight and increase the suppleness of the mattress.
61,/us/en/images/products/askvoll-bed-frame-white__0637517_PE698357_S4.JPG,"Adjustable bed sides allow you to use mattresses of different thicknesses. The low height makes this bed frame a good choice under windows or sloped ceilings. The design works well with many different styles, from modern to traditional. There’s plenty of space under the bed for storage boxes – great for stowing extra quilts and sheets. You can easily vacuum under the bed frame to keep the space clean and dustfree."
62,/us/en/images/products/avsiktlig-paper-napkin__0514048_PE639285_S4.JPG,The napkin is highly absorbent because it’s made of threeply paper.
63,/us/en/images/products/arstid-ceiling-lamp-white__0607745_PE683174_S4.JPG,Diffused light that provides good general light in the room.
64,/us/en/images/products/applaro-armchair-outdoor-brown__0728356_PE736197_S4.JPG,"The curved back ensures that you sit comfortably. You can make your chair more comfortable and personal by adding a chair pad in a style you like. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
65,/us/en/images/products/applaro-gateleg-table-outdoor-brown__0131145_PE285692_S4.JPG,"Two folding dropleaves allow you to adjust the table size according to your needs. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
66,/us/en/images/products/applaro-bench-with-backrest-outdoor-brown__0728725_PE736423_S4.JPG,"The curved back ensures that you sit comfortably. You can make your bench more comfortable and personal by adding a pad in a style you like. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
67,/us/en/images/products/applaro-bar-stool-with-backrest-outdoor__0285948_PE422902_S4.JPG,"You can make your chair more comfortable and personal by adding a chair pad in a style you like. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
68,/us/en/images/products/applaro-bar-table-outdoor__0735201_PE739810_S4.JPG,"For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
69,/us/en/images/products/applaro-bar-table-and-bar-stools-brown__0736488_PE740579_S4.JPG,"For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain. You can make your chair more comfortable and personal by adding a chair pad in a style you like."
70,/us/en/images/products/applaro-storage-bench-outdoor-brown__0138640_PE298384_S4.JPG,"Besides storing away your chair cushions, gardening tools, or plant pots, this storage bench also works as an extra seat or to set things on. Wheels make it easy to move. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
71,/us/en/images/products/applaro-bench-outdoor-brown__0727613_PE735738_S4.JPG,"For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
72,/us/en/images/products/applaro-storage-bench-outdoor-brown__0131156_PE285715_S4.JPG,"Besides storing away your gardening tools and plant pots, this storage bench also works as an extra seat or to set things on. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
73,/us/en/images/products/applaro-drop-leaf-table-outdoor-brown__0735754_PE740162_S4.JPG,"The dropleaves can be folded and removed, so you can quickly adjust the table size according to your needs. The hole in the middle of the table top keeps your umbrella in place. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
74,/us/en/images/products/applaro-stool-outdoor__0728395_PE736229_S4.JPG,"Easy to fold up and put away. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
75,/us/en/images/products/applaro-reclining-chair-outdoor-brown__0131146_PE285693_S4.JPG,"The back can be adjusted to five different position. Easy to fold up and put away. You can make your chair more comfortable and personal by adding a chair pad in a style you like. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
76,/us/en/images/products/applaro-bench-w-wall-panel-shelf-outdoor__0289220_PE424687_S4.JPG,"For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
77,/us/en/images/products/applaro-table-stool-section-outdoor-brown__0736462_PE740546_S4.JPG,"Can be used as a table or stool to extend the oneseat section in the same series. By combining different seating sections you can create a sofa in a shape and size that perfectly suits your outdoor space. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
78,/us/en/images/products/applaro-one-seat-section-outdoor-brown__0729497_PE737002_S4.JPG,"All sections in the ÄPPLARÖ series can be used freestanding or together to create a modular sofa in any size that suits your outdoor space perfectly. You can make your sofa more comfortable and personal by adding decorative cushions in various sizes, colors and patterns. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
79,/us/en/images/products/applaro-corner-section-outdoor-brown__0729496_PE737015_S4.JPG,"All sections in the ÄPPLARÖ series can be used freestanding or together to create a modular sofa in any size that suits your outdoor space perfectly. You can make your sofa more comfortable and personal by adding decorative cushions in various sizes, colors and patterns. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
80,/us/en/images/products/applaro-bench-w-panel-and-shelves-outdoor-brown__0148803_PE307101_S4.JPG,"For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
81,/us/en/images/products/applaro-chaise-brown__0729515_PE737032_S4.JPG,"The back can be adjusted to five different position. Wheels make it easy to move. You can make your chaise more comfortable and personal by adding a chaise pad in a style you like. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
82,/us/en/images/products/applaro-table-benches-outdoor__0736031_PE740358_S4.JPG,"The dropleaves can be folded and removed, so you can quickly adjust the table size according to your needs. The hole in the middle of the table top keeps your umbrella in place. The curved back ensures that you sit comfortably. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
83,/us/en/images/products/applaro-table-reclining-chairs-outdoor__0736058_PE740370_S4.JPG,"The dropleaves can be folded and removed, so you can quickly adjust the table size according to your needs. The hole in the middle of the table top keeps your umbrella in place. You can make your chair more comfortable and personal by adding a chair pad in a style you like. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain. The back of the chair can be adjusted to five different positions."
84,/us/en/images/products/applaro-table-reclining-chairs-outdoor__0736309_PE740449_S4.JPG,"The dropleaves can be folded and removed, so you can quickly adjust the table size according to your needs. The hole in the middle of the table top keeps your umbrella in place. You can make your chair more comfortable and personal by adding a chair pad in a style you like. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain. The back of the chair can be adjusted to five different positions."
85,/us/en/images/products/applaro-table-armchairs-outdoor-brown__0736301_PE740458_S4.JPG,"The dropleaves can be folded and removed, so you can quickly adjust the table size according to your needs. The hole in the middle of the table top keeps your umbrella in place. You can make your chair more comfortable and personal by adding a chair pad in a style you like. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
86,/us/en/images/products/applaro-table-reclining-chairs-outdoor__0736316_PE740445_S4.JPG,"The dropleaves can be folded and removed, so you can quickly adjust the table size according to your needs. The hole in the middle of the table top keeps your umbrella in place. You can make your chair more comfortable and personal by adding a chair pad in a style you like. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain. The back of the chair can be adjusted to five different positions."
87,/us/en/images/products/applaro-table-armchairs-bench-outdoor-brown__0736033_PE740360_S4.JPG,"The dropleaves can be folded and removed, so you can quickly adjust the table size according to your needs. The hole in the middle of the table top keeps your umbrella in place. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
88,/us/en/images/products/applaro-chair-outdoor-gray__0729358_PE736949_S4.JPG,"By combining different seating sections you can create a sofa in a shape and size that perfectly suits your outdoor space. You can make your sofa even more comfortable and add a personal touch by complementing with decorative cushions in different sizes and colors. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain. The cushion covers are dope dyed, a process that reduces consumption of water and dyestuff while improving color fastness compared to traditional dyeing techniques."
89,/us/en/images/products/applaro-seat-modular-sofa-outdoor-beige__0333700_PE527471_S4.JPG,"By combining different seating sections you can create a sofa in a shape and size that perfectly suits your outdoor space. The cushion has a longer life because it can be turned over and used on both sides. The cover is easy to keep clean because it is removable and machine washable. You can make your sofa even more comfortable and add a personal touch by complementing with decorative cushions in different sizes and colors. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
90,/us/en/images/products/applaro-seat-modular-sofa-outdoor-beige__0257321_PE401340_S4.JPG,"By combining different seating sections you can create a sofa in a shape and size that perfectly suits your outdoor space. The cushion has a longer life because it can be turned over and used on both sides. The cover is easy to keep clean because it is removable and machine washable. You can make your sofa even more comfortable and add a personal touch by complementing with decorative cushions in different sizes and colors. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
91,/us/en/images/products/applaro-seat-modular-sofa-outdoor-gray__0729243_PE736806_S4.JPG,"By combining different seating sections you can create a sofa in a shape and size that perfectly suits your outdoor space. You can make your sofa even more comfortable and add a personal touch by complementing with decorative cushions in different sizes and colors. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain. The cushion covers are dope dyed, a process that reduces consumption of water and dyestuff while improving color fastness compared to traditional dyeing techniques."
92,/us/en/images/products/applaro-seat-modular-sofa-outdoor-gray__0729157_PE736719_S4.JPG,"By combining different seating sections you can create a sofa in a shape and size that perfectly suits your outdoor space. You can make your sofa even more comfortable and add a personal touch by complementing with decorative cushions in different sizes and colors. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain. The cushion covers are dope dyed, a process that reduces consumption of water and dyestuff while improving color fastness compared to traditional dyeing techniques."
93,/us/en/images/products/applaro-modular-corner-sofa-seat-outdoor-gray__0728695_PE736409_S4.JPG,"By combining different seating sections you can create a sofa in a shape and size that perfectly suits your outdoor space. You can make your sofa even more comfortable and add a personal touch by complementing with decorative cushions in different sizes and colors. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain. The cushion covers are dope dyed, a process that reduces consumption of water and dyestuff while improving color fastness compared to traditional dyeing techniques."
94,/us/en/images/products/applaro-seat-conversation-set-outdoor-gray__0736616_PE740668_S4.JPG,"By combining different seating sections you can create a sofa in a shape and size that perfectly suits your outdoor space. You can make your sofa even more comfortable and add a personal touch by complementing with decorative cushions in different sizes and colors. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain. The cushion covers are dope dyed, a process that reduces consumption of water and dyestuff while improving color fastness compared to traditional dyeing techniques."
95,/us/en/images/products/applaro-shelf-for-wall-panel-outdoor-brown__0627410_PE693343_S4.JPG,"For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
96,/us/en/images/products/applaro-wall-panel-outdoor-brown__0626048_PE692564_S4.JPG,"For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
97,/us/en/images/products/applaro-wall-panel-shelves-outdoor-brown__0148797_PE307095_S4.JPG,"For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
98,/us/en/images/products/applaro-bench-with-wall-panel-outdoor-brown__0137503_PE295933_S4.JPG,"For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
99,/us/en/images/products/applaro-klasen-serving-cart-outdoor__0755819_PE748626_S4.JPG,"The ÄPPLARÖ/KLASEN cart provides an extra storage area which can be moved easily. Also works perfectly next to the ÄPPLARÖ/KLASEN grill as a place to put serving plates and barbecue accessories. The stainless steel shelf has a durable surface that’s easy to keep clean. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
100,/us/en/images/products/applaro-klasen-storage-cabinet-outdoor-gray__0755817_PE748627_S4.JPG,"The ÄPPLARÖ/KLASEN storage cabinet provides an extra storage area which can be moved easily. Also works perfectly next to the ÄPPLARÖ/KLASEN grill as a place to put serving plates and barbecue accessories. The stainless steel shelf has a durable surface that’s easy to keep clean. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
101,/us/en/images/products/applaro-klasen-charcoal-grill__0755909_PE748665_S4.JPG,"The builtin thermometer on the hood helps you check the temperature during grilling – without having to lift the hood. To get the desired grill temperature you can regulate the air flow by adjusting the stainless steel vent on the hood and on the front of the grill. The cooking grate is durable and rustproof, as it is made of highgrade stainless steel. The ash tray can be pulled out, so it’s easy to empty the ashes once you have finished grilling."
102,/us/en/images/products/applaro-klasen-charcoal-grill-with-cart__0755844_PE748644_S4.JPG,"With ÄPPLARÖ/KLASEN charcoal barbecue and ÄPPLARÖ/KLASEN cart you get a cooking area combined with a practical area to put both serving plates and barbecue accessories. The stainless steel shelf has a durable surface that’s easy to keep clean. The builtin thermometer on the hood helps you check the temperature during grilling – without having to lift the hood. To get the desired grill temperature you can regulate the air flow by adjusting the stainless steel vent on the hood and on the front of the grill. The cooking grate is durable and rustproof, as it is made of highgrade stainless steel. The ash tray can be pulled out, so it’s easy to empty the ashes once you have finished grilling."
103,/us/en/images/products/applaro-klasen-charcoal-grill-with-cabinet-gray__0755842_PE748645_S4.JPG,"With ÄPPLARÖ/KLASEN charcoal grill and ÄPPLARÖ/KLASEN storage cabinet you get a cooking area combined with a practical area to put both serving plates and grill accessories. The stainless steel shelf has a durable surface that’s easy to keep clean. The builtin thermometer on the hood helps you check the temperature during grilling – without having to lift the hood. To get the desired grill temperature you can regulate the air flow by adjusting the stainless steel vent on the hood and on the front of the grill. The cooking grate is durable and rustproof, as it is made of highgrade stainless steel. The ash tray can be pulled out, so it’s easy to empty the ashes once you have finished grilling."
104,/us/en/images/products/applaro-klasen-charcoal-grill-with-cart-cabinet__0755853_PE748653_S4.JPG,"With ÄPPLARÖ/KLASEN charcoal grill, cart and storage cabinet you get a cooking area combined with a practical area to put both serving plates and grill accessories. The builtin thermometer on the hood helps you check the temperature during grilling – without having to lift the hood. To get the desired grill temperature you can regulate the air flow by adjusting the stainless steel vent on the hood and on the front of the grill. The cooking grate is durable and rustproof, as it is made of highgrade stainless steel. The ash tray can be pulled out, so it’s easy to empty the ashes once you have finished grilling."
105,/us/en/images/products/applaro-seat-modular-sofa-outdoor-beige__0257326_PE401349_S4.JPG,"By combining different seating sections you can create a sofa in a shape and size that perfectly suits your outdoor space. The cushion has a longer life because it can be turned over and used on both sides. The cover is easy to keep clean because it is removable and machine washable. You can make your sofa even more comfortable and add a personal touch by complementing with decorative cushions in different sizes and colors. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
