,Unnamed: 0,img_url,description
3452,3452,/us/en/images/products/vimle-sleeper-sofa-black__0686126_PE721619_S4.JPG,"This soft and cozy sofa will have a long life as the seat cushions are filled with high resilience foam that gives good support for your body and quickly regains its original shape when you get up. The ottoman has an extra storage space under the seat for all those little things you have in your home. The fixed FARSTA coated fabric cover has an irregular surface texture with a light shine and a smooth feel. A protective polyurethane coating makes the cover is easy to keep clean and makes it feel and look like leather. The cover is easy to keep clean as it can be wiped clean with a damp cloth. The sofa is quickly and easily transformed into a spacious bed by removing the seat and back cushions and pulling out the underframe. You can use the sofa's back cushions to get a comfortable back support to lean against in the bed. The sleeper sofa has a 4¾"" thick bed mattress in high resilience foam that provides comfortable support to your body and a smooth sleeping surface without disturbing joints. The bed slats work together with the mattress to give a more flexible comfort and nice sleep support. The mattress is easy to keep clean since you can remove the mattress cover and machine wash it. You can complete with VIMLE headrest to extend the backrest of the sofa, so that you sit even more comfortably with a nice support for your neck. 10year limited warrranty. Read about the terms in the limited warranty brochure."
3336,3336,/us/en/images/products/variera-knife-tray__0260480_PE404455_S4.JPG,"Makes it easier to keep your knives organized, so you can quickly find what you need in the kitchen drawer and start cooking. Looks after your knives and keeps them sharp longer. Fits MAXIMERA kitchen drawer perfectly, so you can utilize the full volume in all your kitchen drawers. The bamboo gives your kitchen a warm and finished expression."
1597,1597,/us/en/images/products/lattjo-soft-toy__0710191_PE727394_S4.JPG,"In Cat the cat’s backpack, you can hide small things that can be good to have on secret missions."
1847,1847,/us/en/images/products/mojlighet-bed-pocket-blue__0651931_PE707217_S4.JPG,"With this practical bed pocket by the side of the bed, you always have your book, tablet and headphones within easy reach – even if you sleep on the top part of the bunk bed. Helps you keep large and small things organized since the storage pockets have different sizes. Clever storage solution that you can hang on our children’s beds. You can easily wipe off lighter stains with a damp cloth, or handwash at 100°F/40°C. Tested and contains no substances, phthalates or chemicals that can harm your child's skin or health."
2483,2483,/us/en/images/products/skatteby-frame-black__0638545_PE698997_S4.JPG,"Available in different sizes. The frame can be used horizontally or vertically, whichever suits you or your picture best. The frame is made of plastic, which makes it strong, lightweight and easier to handle. Front protection in plastic makes the frame safer to use. Can also be used without the mat for a larger picture. The mat is acidfree and will not discolor the picture. With a large picture you can create mood and atmosphere in a whole room."
1151,1151,/us/en/images/products/idasen-drawer-unit-with-smart-lock__0613642_PE686434_S4.JPG,The integrated smart lock helps you keep your things safe in the storage. 10year Limited Warranty. Read about the terms in the Limited Warranty brochure. Casters make it easy to roll the storage unit under your desk or around the room. Integrated damper closes the drawer silently and gently. You can attach magnets to the metal surface and use it as a pin board.
1706,1706,/us/en/images/products/lillangen-wall-cabinet-white__0721659_PE733332_S4.JPG,The shallow sink cabinet is perfect where space is limited.
2562,2562,/us/en/images/products/sniglar-bed-frame-with-slatted-bed-base__0637773_PE698533_S4.JPG,"Solid wood, a durable natural material. Slatted bed base for good air circulation. The guardrail prevents your child from falling out of the bed"
522,522,/us/en/images/products/eket-storage-combination-with-legs__0709277_PE726918_S4.JPG,"A low combination provides convenient storage space under a window, stairs, etc. Can be used as a utility bench in the bedroom or hallway. Metal legs raise your EKET combination from the floor, giving a light airy look and making it easy to clean the floor underneath. Adjustable feet make it possible to compensate any irregularities in the floor. Assembly is quick and easy, thanks to the wedge dowel that clicks into the predrilled holes."
1552,1552,/us/en/images/products/lack-coffee-table-black__57540_PE163122_S4.jpg,"Separate shelf for magazines, etc. helps you keep your things organized and the table top clear."
477,477,/us/en/images/products/ekby-alex-ekby-valter-shelf-with-drawer-white__0643950_PE702276_S4.JPG,"EKBY ALEX allows you to keep your favorite items visible on the open shelf, and hide away things you need close at hand in the drawers. Drawer stops prevent the drawers from being pulled out too far. The thick back edge of the bracket creates a small space between the shelf and the wall where you can run cords through."
2730,2730,/us/en/images/products/stuk-storage-with-compartments-pink__0664465_PE712750_S4.JPG,Takes little room to store as it folds flat.
1566,1566,/us/en/images/products/landskrona-chaise-add-on-unit__0609032_PE684279_S4.JPG,"Soft, dyedthrough 3/64"" thick grain leather that is supple and smooth to the touch. Seat cushions filled with high resilience foam and polyester fiber wadding provides great seating comfort. The outer surfaces are covered in a durable coated fabric with the same look and feel as leather. 10year limited warrranty. Read about the terms in the limited warranty brochure."
985,985,/us/en/images/products/hektar-work-lamp-w-charging-led-bulb-beige__0767210_PE754056_S4.JPG,"You can easily charge your smartphone wirelessly. If your phone supports wireless charging, place it on the charging pad. If not, you will need to purchase a wireless charging cover. You can charge 2 devices at the same time since there is also a USB port built into the lamp. Provides a directed light that is great for reading. You can easily direct the light where you want it because the lamp arm and head are adjustable."
2577,2577,/us/en/images/products/soderhamn-corner-section-gray__0141356_PE301240_S4.JPG,"SÖDERHAMN seating series allows you to sit deeply, low and softly with the loose back cushions for extra support. You can sit in comfort with a slight, pleasant resilience thanks to the elastic weave in the bottom and high resilience foam in the seat cushions. All sections in the SÖDERHAMN sofa series can be used freestanding or put together into exactly the sofa combination you want and need ‒ both big and small. This cover is made from SAMSTA fabric in polyester and nylon. It has a smooth surface with a soft feel. The material is durable and the color has a modern look. The cover is easy to keep clean as it is removable and can be machine washed. 10year limited warrranty. Read about the terms in the limited warranty brochure."
154,154,/us/en/images/products/billy-bookcase__0627025_PE693157_S4.JPG,"Make use of the room's maximum surface area with corner shelving. This bookcase has a height extension unit, allowing you to make the most of the wall area. Adjustable shelves can be arranged according to your needs. Surface made from natural wood veneer."
925,925,/us/en/images/products/hallo-chaise-pad-beige__0685009_PE721315_S4.JPG,Ties keep the chaise pad firmly in place. Extend the life of the chaise pad by turning over and using both sides.
933,933,/us/en/images/products/havsta-base-frame-white__0665068_PE712988_S4.JPG,"By adding a toekick in a compatible size, you can convert any HAVSTA stackable unit into a standalone. Solid pine with crafted details and a brushed surface gives a genuine, sturdy feeling, a timeless look and it will age gracefully. Made of wood from sustainable sources. The surface is durable and easy to keep clean. The toekicks give HAVSTA a classic, timeless and uniform look. Solid wood is natural, renewable and separable material."
574,574,/us/en/images/products/ekoln-soap-dish-gray__0749021_PE745399_S4.JPG,"Perfect for soap, but also jewelry or other small items that easily disappear."
3313,3313,/us/en/images/products/vardera-piece-dinnerware-set-white__0712801_PE729021_S4.JPG,"Made of feldspar porcelain, which makes the plate impact resistant and durable. You can easily create a table setting that’s different but timeless, as the dinnerware has an exciting soft square shape that is also classic."
459,459,/us/en/images/products/dynan-wall-shelf-white__0721674_PE733347_S4.JPG,You can have one shelf by itself – or combine several vertically or horizontally by using the included fixture. Perfect in a small bathroom.
1578,1578,/us/en/images/products/langfjall-conference-chair-green__0725824_PE735062_S4.JPG,"You can lean back with perfect balance, as the tilt tension mechanism is easy to adjust with an Allen key to suit your weight and movements. Your back gets support and extra relief from the builtin lumbar support. You easily find a comfortable seating posture thanks to the adjustable height and generous coldfoam seat. 10year Limited Warranty. Read about the terms in the Limited Warranty brochure."
964,964,/us/en/images/products/havsten-seat-conversation-set-in-outdoor-beige__0587810_PE672776_S4.JPG,"In HAVSTEN you sit deep and low with a comfortable resilience thanks to the elastic mesh in the bottom. Create an armchair, loveseat, a sofa or a sectional as large as you like. You can just shake off water from a light rain, as the cushion cover is water repellent. The cushion covers are dope dyed, a process that reduces consumption of water and dyestuff while improving color fastness compared to traditional dyeing techniques. Easy to keep clean since the cushion cover can be removed and washed. The cushion has a longer life because it can be turned over and used on both sides. You can have a personal touch to your sofa by adding one or more decorative cushions to your style and taste."
2524,2524,/us/en/images/products/slakt-bed-frame-w-pull-out-bed-storage-white__0637775_PE698535_S4.JPG,The pullout bed is perfect to roll out when a friend sleeps over and there’s room for both bed linens and toys in the 2 drawers.
3314,3314,/us/en/images/products/vardera-side-plate-white__0712359_PE728778_S4.JPG,"Made of feldspar porcelain, which makes the side plate impact resistant and durable. You can easily create a table setting that’s different but timeless, as the dinnerware has an exciting soft square shape that is also classic."
2226,2226,/us/en/images/products/ranarp-wall-clamp-spotlight-white__0606605_PE682409_S4.JPG,"The lamp can be mounted in two ways: as a clamp spotlight or as a wall lamp. You can easily aim the light where you need it because the lamp head is adjustable. For instance, you can direct the light on the book you are reading, use it as an uplight or aim it to focus on a specific area in the room. The lamp is lightweight and easy to move and it simply clamps firmly in place."
412,412,/us/en/images/products/djungelskog-soft-toy__0560458_PE662342_S4.JPG,"This little lion cub loves to play and needs a lot of love  just like all little ones. So if you like to play and cuddle, you will surely become friends for life. All soft toys are good at hugging, comforting and listening and are fond of play and mischief. In addition, they are reliable and tested for safety."
70,70,/us/en/images/products/applaro-storage-bench-outdoor-brown__0138640_PE298384_S4.JPG,"Besides storing away your chair cushions, gardening tools, or plant pots, this storage bench also works as an extra seat or to set things on. Wheels make it easy to move. For added durability and so you can enjoy the natural expression of the wood, the furniture has been pretreated with several layers of semitransparent wood stain."
2513,2513,/us/en/images/products/skurar-flower-box-with-holder-white__0638420_PE698929_S4.JPG,"You can hang the flower box and plant pot from a balcony rail and create a decorative garden, even in a small space. Decorate your home with plants combined with a plant pot to suit your style."
1971,1971,/us/en/images/products/nymane-wall-up-downlight-white__0585693_PE671819_S4.JPG,Light directed both upwards and downwards.
931,931,/us/en/images/products/havsta-tv-storage-combination-glass-doors-white__0720021_PE732364_S4.JPG,"Made of wood from sustainable sources. Solid pine with crafted details and a brushed surface gives a genuine, sturdy feeling, a timeless look and it will age gracefully. The openable lid on the top of the tv bench helps you to gather, organise and hide the TV cables. The combination of open and hidden storage makes it easy to keep remote controls and other TV accessories organized. Glass doors keep your finest items free from dust but still visible. The shelves in tempered glass with wooden edges are durable and give the furniture a slim, light and airy look. The toekicks give HAVSTA a classic, timeless and uniform look. The surface is durable and easy to keep clean. Scandinavian design with clean simple lines makes it easy to combine the cabinet with furniture in different styles. Tempered glass is more impact resistant than ordinary glass and the surface is easy to clean. Solid wood is natural, renewable and separable material. Matches other furniture in the HAVSTA series."
200,200,/us/en/images/products/bjorksnas-nightstand__0598067_PE677433_S4.JPG,"Smooth running drawer with pullout stop. Made of solid wood, which is a durable and warm natural material."
2789,2789,/us/en/images/products/beloning-dark-chocolate-bar-__0661236_PE711410_S4.JPG,Give in to temptation with this aromatic dark chocolate with orange flavor blended with roasted and chopped almonds. The chocolate contains a minimum of 60% cocoa. UTZ certified cacao: ensures sustainable farming standards and good conditions for workers. You can easily check the origin of the cacao by visiting www.utz.org/IKEA.
2652,2652,/us/en/images/products/stockholm-rug-flatwoven-brown__0167739_PE321664_S4.JPG,"Handwoven by skilled craftspeople, each one is unique. Made in India in organized weaving centers with good working conditions and fair wages. The durable, soilresistant wool surface makes this rug perfect in your living room or under your dining table. The rug has the same pattern on both sides, so you can turn it over and it will withstand more wear and last even longer."
3246,3246,/us/en/images/products/vallentuna-sleeper-module-with-backrests-blue__0623429_PE691135_S4.JPG,"All modules in the VALLENTUNA series can be used freestanding or together to create a sofa combination in any size that suits you perfectly. VALLENTUNA retains its comfort for a long time with generous seating and pocket springs that follow your body. This combination includes 1 sleeper module that is easy to transform into a bed and allows you to accommodate guests both day and night. HILLARED cover is woven from cotton and polyester – with viscose and linen added. The durable cover has a clear structure, yet soft and comfortable at the same time. The cover is easy to keep clean since it is removable and machine washable. 10year limited warrranty. Read about the terms in the limited warranty brochure."
199,199,/us/en/images/products/bjorksnas-bed-frame__0629696_PE694429_S4.JPG,"The hardwearing solid birch has natural variations in grain, color and texture, giving every piece a unique look. Beautiful craftsmanship all the way around. Why not place it in the middle of the room to create impact? You can sit up comfortably in bed thanks to the 2 pillows attached to the headboard. There’s plenty of space under the bed for storage boxes  perfect for storing extra quilts and pillows. Adjustable bed sides allow you to use mattresses of different thicknesses. The slatted bed base has 17 layerglued slats that adjust to your body weight and increase the suppleness of the mattress."
1630,1630,/us/en/images/products/liatorp-glass-door-cabinet-white__0625604_PE692390_S4.JPG,"3 adjustable glass shelves.  Adjust spacing according to your storage needs. 2 stationary shelves for greater stability. Adjustable feet provides stability on uneven floors. Tempered glass doors keep your favorites free from dust, but still in full view. Hinges with integrated dampers ensure the doors close slowly, silently and softly."
3510,3510,/us/en/images/products/ypperlig-bench__0505369_PE633890_S4.JPG,Solid beech is a durable natural material.
2156,2156,/us/en/images/products/pjatteryd-picture__0705273_PE725494_S4.JPG,Motif created by Filip Hodas and Irene Suchocki. You can personalize your home with artwork that expresses your style.
2213,2213,/us/en/images/products/poang-armchair-gray__0570521_PE666349_S4.JPG,"Layerglued bent oak gives comfortable resilience. The high back provides good support for your neck. A variety of seat cushion designs makes it easy to change the look of your POÄNG chair and your living room. To sit even more comfortably and relaxed, you can use the armchair together with a POÄNG ottoman. 10year limited warrranty. Read about the terms in the limited warranty brochure."
2888,2888,/us/en/images/products/birtine-curtains-pair-beige__0545396_PE655432_S4.JPG,The curtains lower the general light level and provide privacy by preventing people outside from seeing directly into the room. The curtains can be used on a curtain rod or a curtain track. The heading tape makes it easy for you to create pleats using RIKTIG curtain hooks. You can hang the curtains on a curtain rod through the hidden tabs or with rings and hooks.
707,707,/us/en/images/products/flyttbar-storage-box-orange__0711048_PE727919_S4.JPG,"Perfect for the little traveller who dreams of travelling – a storage box with an outer pocket, 2 pockets with zippers, a handle, a retractsble handle, an address holder and wheels in foam. Easy to take out and put away, even for small children, since the storage box has both a normal handle and a retractable handle."
2657,2657,/us/en/images/products/stockholm-pendant-lamp-white__0607397_PE682948_S4.JPG,You can either hang the lamp close to the ceiling in your living room or low over a coffee table. Provides both a good general light and some directional light.
760,760,/us/en/images/products/fullfolja-scissors-black__0286893_PE423383_S4.JPG,Comfortable to grip as the inside of the handle is made of soft rubber.
2078,2078,/us/en/images/products/gubbrora-rubber-spatula-pink__0711753_PE728442_S4.JPG,Gentle to pots and pans with nonstick coating.
698,698,/us/en/images/products/flisat-child-s-bench__0728031_PE736021_S4.JPG,The bench can be used as a seat for several years since it has three height settings.
3162,3162,/us/en/images/products/tyssedal-nightstand-white__0624430_PE691837_S4.JPG,"Smooth running drawer with pullout stop. Integrated damper catches the running drawer and closes it slowly, silently and softly."
157,157,/us/en/images/products/billy-oxberg-bookcase__0641258_PE700393_S4.JPG,Adjustable shelves can be arranged according to your needs. Surface made from natural wood veneer. Adjustable hinges allow you to adjust the door horizontally and vertically. Glassdoor cabinet keeps your favorite items free from dust but still visible.
1287,1287,/us/en/images/products/ikea-bread-knife__0710387_PE727515_S4.JPG,"15year Limited Warranty. Read about the terms in the Limited Warranty brochure. The knife has a serrated edge which makes it easy to slice bread and cut soft vegetables such as tomatoes. The knife is very durable, balanced, and easy to clean, since it is made of a single piece of stainless steel. Made of molybdenum/vanadium stainless steel, which is why the knife stays sharp for a very long time. Grooves on the handle give a firm, secure grip, and keep the knife from sliding in your hand."
920,920,/us/en/images/products/hallo-seat-pad-outdoor-black__0603344_PE680767_S4.JPG,The cover is easy to keep clean because it is removable and machine washable. The cushion has a longer life because it can be turned over and used on both sides.
3259,3259,/us/en/images/products/vardagen-bowl-gray__0712942_PE729154_S4.JPG,"Simple yet timeless tableware with a traditional style, soft, round shapes and attention to detail that frames the food on your table well. Stack the smaller sizes inside the larger of the same range, to save space when not in use."
1900,1900,/us/en/images/products/njutning-vase-and-scented-sticks-gray__0539524_PE652507_S4.JPG,"A spicy scent of bergamot and tea with warm milk. These decorative scented sticks in a vase are ideal for creating a comfortable and pleasant atmosphere in places like halls, bathrooms and bedrooms. You avoid handling liquid oil and any spills in your home since the scented sticks are dry."
1392,1392,/us/en/images/products/kivik-loveseat-green__0463021_PE609618_S4.JPG,"KIVIK is a generous seating series with a soft, deep seat and comfortable support for your back. Seat cushions have a layer of memory foam that softly follows the contours of your body and gives comfortable support where needed. It is easy to combine the sofa with one or more chaise lounges thanks to the removable armrests. 10year limited warrranty. Read about the terms in the limited warranty brochure."
2319,2319,/us/en/images/products/satsumas-plant-stand-white__0635819_PE697396_S4.JPG,"A plant stand makes it possible to decorate with plants everywhere in the home. The lower shelf is ideal for smaller pots, or to store your gardening books and magazines."
1067,1067,/us/en/images/products/hemnes-shoe-cabinet-with-compartments-black__0710738_PE727756_S4.JPG,Helps you organize your shoes and saves floor space at the same time. You will have room for plenty of shoes as each compartment has double rows. In the shoe cabinet your shoes get the ventilation and the space they need to keep them like new longer. The cabinet only has legs at the front so it can stand close up to the wall above the baseboard.
1039,1039,/us/en/images/products/hemnes-drawer-dresser__0627346_PE693299_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. Made of solid wood, which is a durable and warm natural material. A wide chest of drawers gives you plenty of storage space as well as room for lamps or other items you want to display on top. Smooth running drawers with pullout stop."
3197,3197,/us/en/images/products/omlopp-led-countertop-light-white__0369487_PE550933_S4.JPG,"Preparing food and doing kitchen work is safer, easier and more fun when you have a good, even light across your countertop. It’s easy to soften the light in your kitchen when you dine or socialize because this worktop lighting is dimmable. The LED light source consumes up to 85% less energy and lasts 20 times longer than incandescent bulbs."
1102,1102,/us/en/images/products/hemnes-storage-combination-w-doors-drawers-black__0704174_PE725022_S4.JPG,"Solid wood has a natural feel. The shelves are adjustable so you can customize your storage as needed. Three fixed shelves provide increased stability. Adjustable feet for stability on uneven floors. Hinges with snapon function are easy to fit without screws. The door's integrated dampers enable it to close slowly, silently and softly. Large drawers for hidden, dustfree storage. The small drawer is perfect for small items such as pens and silverware. With a glassdoor cabinet, you can show off as well as protect your glassware or your favorite collection. You can hide multiple power strips, etc under the removable bottom shelf."
400,400,/us/en/images/products/djungelskog-cushion-brown__0552991_PE659173_S4.JPG,"The cushion is made of 100% polyester ‒ a lightweight and durable material that withstands tough jungle adventures. The polyester filling keeps its shape and provides soft support for your child’s body. You decide if the lion is asleep or awake by turning the soft cushion around to change the lion's facial expression. Tested and contains no substances, phthalates or chemicals that can harm your child's skin or health. Easy to clean; machine wash, warm 104°F (40°C). With some extra decorative cushions on the bed, sofa or in a cozy corner, the child's room feels more cozy. Also looks nice as a decorative cushion with other cushions in the same collection."
1604,1604,/us/en/images/products/lattjo-duvet-cover-and-pillowcase-s-pink__0650741_PE706472_S4.JPG,"Made from 100% sustainably grown cotton, a natural and durable material that gets softer with every wash. Tested and contains no substances, phthalates or chemicals that can harm your child's skin or health. The fabric is tightlywoven, which makes the bedding extra durable. You can easily change the bedroom’s look since the duvet cover’s sides have different patterns. Easy to keep clean; machine wash hot (140°F)."
1806,1806,/us/en/images/products/malm-drawer-dresser__0484881_PE621345_S4.JPG,"Of course your home should be a safe place for the entire family. That’s why hardware is included so that you can attach the chest of drawers to the wall. A wide chest of drawers gives you plenty of storage space as well as room for lamps or other items you want to display on top. Real wood veneer will make this chest of drawers age gracefully. Smooth running drawers with pullout stop. If you want to organize inside you can complement with SKUBB box, set of 6."
2986,2986,/us/en/images/products/nodebo-rug-low-pile-green__0500596_PE631195_S4.JPG,"Handwoven by skilled craftspeople, each one is unique. Made in India in organized weaving centers with good working conditions and fair wages. Made in India in organized weaving centers with good working conditions and fair wages. The rug is made of wool so it’s naturally soilrepellent and very durable. The dense, thick pile dampens sound and provides a soft surface to walk on."
1085,1085,/us/en/images/products/hemnes-coffee-table__0524634_PE644428_S4.JPG,"Solid wood has a natural feel. Separate shelf for magazines, etc. helps you keep your things organized and the table top clear."
324,324,/us/en/images/products/ikea-bowl-white__0712934_PE729146_S4.JPG,"Made of feldspar porcelain, which makes the bowl impact resistant and durable. Practical and useful bowl, suitable both for serving and eating from. The size and shape of the bowl makes it perfect for use as a rice bowl. The timeless and smart design makes the dinnerware meet all your needs at home, regardless of what you eat and drink, and withstand being used 365 days a year. The dinnerware’s smart design allows you to stack the smaller sizes inside the larger ones without taking more vertical space, so you get room for other things."
1297,1297,/us/en/images/products/ikea-ps-pendant-lamp-white__0613030_PE686121_S4.JPG,You can easily switch between a brighter general light and a softer mood light by just pulling the strings. Projects decorative patterns onto the ceiling and on the wall.
1180,1180,/us/en/images/products/ikea-mug__0359762_PE546586_S4.JPG,"Made of tempered glass, which makes the mug durable and extra resistant to impact."
1350,1350,/us/en/images/products/kafferep-oat-biscuits-with-cinnamon__0539230_PE652396_S4.JPG,"Sweet, crispy oats with smooth yet fiery, Christmaslike cinnamon. Conveniently served as they are. For example with coffee and good friends as “fika” – coffee break Swedish style. Or with a mulled drink as Christmas fika."
1859,1859,/us/en/images/products/mula-abacus__0712350_PE728755_S4.JPG,"One yellow, three greens and two blue ones. This abacus helps your child practice both maths and colors – and proudly show you their new skills. Develops fine motor skills and logical thinking."
2892,2892,/us/en/images/products/venche-cushion-cover-blue__0539184_PE652381_S4.JPG,Polyester velvet feels ultra soft against your skin. The zipper makes the cover easy to remove.
319,319,/us/en/images/products/kvittera-serving-stand-tiers__0713435_PE729524_S4.JPG,"You can detach the plates and combine and vary the height as you like. Plates with a raised side keep food in place. Suitable for serving everything from sweets, fruits or shellfish. The serving stand is a festive way to serve, for example pastries, fruit or other small treats."
2965,2965,/us/en/images/products/toftlund-rug-white__0617682_PE688130_S4.JPG,"The rug is super soft, warm and cozy. Ideal on the floor or draped across your favorite armchair. Easy to keep clean since it is machine washable."
1489,1489,/us/en/images/products/kungsfors-dish-drainer__0573220_PE669894_S4.JPG,"You can choose to either mount the dish drainer directly on the wall or in the KUNGSFORS system, or place it on the countertop. Removable tray underneath to collect water from the drainer. The dish drainer has soft plastic feet with an antislip surface so the dish drainer stands firm on the countertop. The spikes on the dish drainer can be folded down if you want to use it as a shelf. Can be used in high humidity areas."
422,422,/us/en/images/products/dokument-magazine-file-set-of-gray__0095425_PE234077_S4.JPG,Easy to pull out and lift as the magazine file has handles.
3338,3338,/us/en/images/products/variera-flatware-tray-white__0391651_PE560240_S4.JPG,"Makes it easier to keep your cutlery and utensils organized, so you can quickly find what you need in the kitchen drawer and start cooking. Looks after your cutlery and utensils and prevents them from getting scratches or other damages in the drawer. The plastic material and the rounded corners make cleaning easier."
1614,1614,/us/en/images/products/lattjo-duvet-cover-and-pillowcase-s-gray__0650689_PE706372_S4.JPG,"Made from 100% sustainably grown cotton, a natural and durable material that gets softer with every wash. Tested and contains no substances, phthalates or chemicals that can harm your child's skin or health. You can quickly and easily vary the look in a child's bedroom since the sides have different colors. The fabric is tightlywoven, which makes the bedding extra durable. Easy to keep clean; machine wash hot (140°F)."
2871,2871,/us/en/images/products/talrika-bowl-red__0654353_PE708474_S4.JPG,"Made of renewable plastic, a more sustainable option than plastic from sources like fossil oil. Can be stacked inside one another to save space in your cabinets when not in use."
298,298,/us/en/images/products/mittbit-place-mat-green__0711873_PE728546_S4.JPG,Protects the table top surface and reduces noise from plates and flatware. Colors are retained wash after wash thanks to the yarndyed cotton.
785,785,/us/en/images/products/glittrig-bowl-set-of-white__0610960_PE685228_S4.JPG,Soft feet stabilizes the bowl and protects the underlying surface.
2198,2198,/us/en/images/products/poang-armchair-black__37851_PE129808_S4.jpg,"Layerglued bent beech frame gives comfortable resilience. Soft, durable and easy care leather which is practical for families with children. To sit even more comfortably and relaxed, you can use the armchair together with a POÄNG ottoman. A variety of seat cushion designs makes it easy to change the look of your POÄNG chair and your living room. The high back provides good support for your neck. 10year limited warrranty. Read about the terms in the limited warranty brochure."
